Plug-In-Interface,
0e4eda9,RoboDK,Mon Feb 10 07:38:53 2020,"Added ViewManager app and generic item command",   30 files changed, 311 insertions(+), 153 deletions(-) Plug-In-Interface,
64f9fac,RoboDK,Sat Feb 8 14:24:56 2020,"Added camera view manager plugin",   26 files changed, 1607 insertions(+), 13 deletions(-) Plug-In-Interface,
8fdabf2,RoboDK,Fri Jan 31 16:48:09 2020,"no message",   1 file changed, 44 insertions(+) Plug-In-Interface,
55c042e,RoboDK,Fri Jan 31 14:38:03 2020,"Improved plug-in interface (iitem): added Copy, Paste and InstructionListJoints",   9 files changed, 301 insertions(+), 2 deletions(-) Plug-In-Interface,
ccdacfa,RoboDK,Wed Jan 15 14:08:44 2020,"no message",   1 file changed, 9 insertions(+), 15 deletions(-) Plug-In-Interface,
610c278,RoboDK,Wed Jan 15 14:05:01 2020,"Added OpenGL plugin example",   12 files changed, 3845 insertions(+) Plug-In-Interface,
65771b6,RoboDK,Tue Nov 26 06:05:03 2019,"Fixed accuracy issues with Hexapod robots",   2 files changed, 10 insertions(+), 7 deletions(-) Plug-In-Interface,
2648b76,RoboDK,Sat Oct 12 16:05:09 2019,"Improved example Apps (apploader plugin) and apploader plugin",   17 files changed, 919 insertions(+), 33 deletions(-) Plug-In-Interface,
7a2ed24,RoboDK,Wed Oct 9 15:41:50 2019,"Added option to load/unload specific apps. Added script to compile apps automatically.",   8 files changed, 660 insertions(+), 100 deletions(-) Plug-In-Interface,
8e723bb,RoboDK,Sun Aug 18 14:04:46 2019,"no message",   3 files changed, 43 insertions(+), 30 deletions(-) Plug-In-Interface,
f67b4d3,RoboDK,Sat Aug 17 17:12:09 2019,"no message",   1 file changed, 16 insertions(+), 14 deletions(-) Plug-In-Interface,
368c13c,RoboDK,Sat Aug 17 17:10:49 2019,"no message",   1 file changed, 13 insertions(+), 11 deletions(-) Plug-In-Interface,
e8fc783,RoboDK,Sat Aug 17 17:04:06 2019,"no message",   1 file changed, 3 insertions(+), 3 deletions(-) Plug-In-Interface,
f8802d1,RoboDK,Sat Aug 17 17:03:07 2019,"no message",   2 files changed, 59 insertions(+), 53 deletions(-) Plug-In-Interface,
57a639c,RoboDK,Sat Aug 17 16:55:04 2019,"added apploader plugin",   51 files changed, 6224 insertions(+), 35 deletions(-) Plug-In-Interface,
b711c21,RoboDK,Tue Jul 9 20:27:09 2019,"no message",   12 files changed, 159 insertions(+), 36 deletions(-) Plug-In-Interface,
7188bfe,RoboDK,Tue May 14 16:33:14 2019,"no message",   1 file changed, 7 insertions(+), 2 deletions(-) Plug-In-Interface,
dca97bf,RoboDK,Mon Apr 8 15:16:29 2019,"improved comments",   6 files changed, 74 insertions(+), 29 deletions(-) Plug-In-Interface,
7768363,RoboDK,Mon Apr 8 15:00:37 2019,"no message",   1 file changed, 2 insertions(+), 2 deletions(-) Plug-In-Interface,
68e5f05,RoboDK,Mon Apr 8 14:59:17 2019,"no message",   1 file changed, 1 deletion(-) Plug-In-Interface,
c1f20cf,RoboDK,Mon Apr 8 14:58:39 2019,"no message",   1 file changed, 3 insertions(+), 3 deletions(-) Plug-In-Interface,
ce36dde,RoboDK,Mon Apr 8 14:55:20 2019,"no message",   1 file changed, 1 insertion(+), 1 deletion(-) Plug-In-Interface,
bebcb95,RoboDK,Mon Apr 8 14:52:44 2019,"no message",   1 file changed, 1 insertion(+), 1 deletion(-) Plug-In-Interface,
937b189,RoboDK,Mon Apr 8 14:52:06 2019,"no message",   1 file changed, 1 insertion(+), 1 deletion(-) Plug-In-Interface,
f62e86a,RoboDK,Mon Apr 8 14:51:47 2019,"no message",   1 file changed, 1 insertion(+), 1 deletion(-) Plug-In-Interface,
a40c022,RoboDK,Mon Apr 8 14:40:47 2019,"added plugin-load image",   2 files changed, 3 insertions(+), 2 deletions(-) Plug-In-Interface,
5504bc2,RoboDK,Sat Mar 30 18:30:08 2019,"no message",   1 file changed, 1 insertion(+), 1 deletion(-) Plug-In-Interface,
8a35174,RoboDK,Sat Mar 30 18:28:34 2019,"no message",   47 files changed, 8402 insertions(+), 232 deletions(-) Plug-In-Interface,
e410a5a,RoboDK,Sat Feb 23 11:50:06 2019,"First Plug-In examples upload",   65 files changed, 53424 insertions(+) Plug-In-Interface,
8917f6e,RoboDK,Sat Feb 23 11:42:39 2019,"Initial commit",   1 file changed, 2 insertions(+) 